source_id,issuer,security_code,report_period,source_url,local_pdf,local_sha256,remote_sha256,hash_match,pdf_pages,text_extract,identity_and_screening_checks_passed,screening_check_count,screening_check_total,collection_date,research_boundary,verification_status
PUB-YY-2023-AR,用友网络科技股份有限公司,600588,2023-01-01/2023-12-31,https://mks.yybip.com/group1/M00/04/37/CgoRDGmb9p-ANeYEAEl4ZgTTBFY033.pdf,sources/curated/open_data/yonyou/2023_annual_report.pdf,0a78f501c4d3ab8ee6c78ca4c0adc936613f3df5eb3326696a0c2feeb10d5749,0a78f501c4d3ab8ee6c78ca4c0adc936613f3df5eb3326696a0c2feeb10d5749,True,279,sources/curated/open_data/yonyou/2023_annual_report.txt,True,12,12,2026-09-05,PUBLIC_DISCLOSURE_ONLY; NOT_INTERNAL_BOOKS_OR_TAX_FILINGS,VERIFIED
PUB-YY-2024-AR,用友网络科技股份有限公司,600588,2024-01-01/2024-12-31,https://mks.yybip.com/group1/M00/04/37/CgoRDGmb-LaAIKDpAIYMdtTJDmo517.pdf,sources/curated/open_data/yonyou/2024_annual_report.pdf,9190ca8a38dbffcc7c136844f8bab52c2ebd0e92fd285e94a757f925c05c7cdf,9190ca8a38dbffcc7c136844f8bab52c2ebd0e92fd285e94a757f925c05c7cdf,True,261,sources/curated/open_data/yonyou/2024_annual_report.txt,True,12,12,2026-09-05,PUBLIC_DISCLOSURE_ONLY; NOT_INTERNAL_BOOKS_OR_TAX_FILINGS,VERIFIED
